Dataset Name,Variations,Priority,Alexander,Sihyun,Statistics,Run3Summer22,Run3Summer22EE,
TTto2L2Nu_MT-X_TuneCP5_13p6TeV-powheg-pythia8,"166.5, 169.5, 171.5, 173.5, 175.5, 178.5",4,submitted,null,,TRUE,TRUE,
TTtoLNu2Q_TuneCP5CR1_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto4Q_TuneCP5CR1_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto2L2Nu_TuneCP5CR1_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTtoLNu2Q_TuneCP5CR2_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto4Q_TuneCP5CR2_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto2L2Nu_TuneCP5CR2_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTtoLNu2Q_TuneCP5Up_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto4Q_TuneCP5Up_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto2L2Nu_TuneCP5Up_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTtoLNu2Q_TuneCP5Down_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto4Q_TuneCP5Down_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto2L2Nu_TuneCP5Down_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTtoLNu2Q_TuneCP5_ERDOn_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto4Q_TuneCP5_ERDOn_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TTto2L2Nu_TuneCP5_ERDOn_13p6TeV-powheg-pythia8,,4,submitted,null,,TRUE,TRUE,
TT_MTT-1500toInf_TuneCP5_13p6TeV_powheg-pythia8,,2,null,null,,FALSE,FALSE,
SingleT,
TBbartoLplusNu_s-channel_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,null,null,,FALSE,FALSE,
TbarBtoLminusNu_s-channel_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,4,null,null,,FALSE,FALSE,
TBbartoLplusNu_s-channel_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TbarBtoLminusNu_s-channel_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TtoLplusNu_t-channel_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TbartoLminusNu_t-channel_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TbarWplustoLNu2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TWminustoLNu2Q_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TbarWplusto2L2Nu_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
TWminusto2L2Nu_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WW,
WWtoLNu2Q-1Jets-4F_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
WWto2L2Nu-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
WWto4Q-1Jets-4F_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
WWtoLNu2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WWto2L2Nu_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WWto4Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WW_TuneCP5_13p6TeV-pythia8,,4,submitted,null,,TRUE,TRUE,
WZ,
WZ_TuneCP5_13p6TeV-pythia8,,4,submitted,null,,TRUE,TRUE,
WZtoLNu2Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
WZto2L2Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
WZtoL3Nu-1Jets-4F_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
WZto3LNu-1Jets-4F_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
WZto4Q-1Jets-4F_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
WZtoLNu2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WZto2L2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WZtoL3Nu_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WZto3LNu_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
WZto4Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZ,,,,,,,,
ZZto2L2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZto2L2Nu_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZto4L_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZto2Nu2Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZto4Q_TuneCP5_13p6TeV-powheg-pythia8,,4,null,null,,FALSE,FALSE,
ZZto2L2Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
ZZto4L-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,preparing,,FALSE,FALSE,
ZZto2Nu2Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
ZZto4Q-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
ZZ_TuneCP5_13p6TeV-pythia8,,4,submitted,null,,TRUE,TRUE,
QCD,
QCD-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,4,null,null,,FALSE,FALSE,
QCDB-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
QCD-4Jets_HT-XtoX_BGenFilter_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
QCD-4Jets_HT-XtoX_MuEnriched_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
QCD-4Jets_HT-XtoX_EMEnriched_TuneCP5_13p6TeV_madgraphMLM-pythia8,,1,null,null,,FALSE,FALSE,
Others,
VVto2L2Nu-1Jets-4F_MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
VVto2L2Nu-1Jets-4F_MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,gridpack,,FALSE,FALSE,
ZGto2LG_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
WGtoLNuG_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
TTG_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,,2,null,null,,FALSE,FALSE,
G_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,,2,null,null,,FALSE,FALSE,
